deployment_id,deployment_date,environment,target,status,error_type,month
DEP_00035,3/4/2026,UAT,MAI,success,,2026-03
DEP_00036,3/13/2026,SIT,MAI,success,,2026-03
DEP_00037,4/3/2026,UAT,LM_Prod,success,,2026-04
DEP_00038,10/25/2025,UAT,LM_Prod,success,,2025-10
DEP_00039,3/18/2026,DevAll,RCT,success,,2026-03
DEP_00040,10/25/2025,UAT,MAI,failed,Other Technical Errors,2025-10
DEP_00041,3/6/2026,DevAll,RCT,failed,Validation/Cross-Ref Errors,2026-03
DEP_00042,10/1/2025,DevAll,MAI,success,,2025-10
DEP_00043,10/1/2025,DevAll,RCT,success,,2025-10
DEP_00044,4/30/2026,DevAll,MAI,failed,Validation/Cross-Ref Errors,2026-04
DEP_00045,12/21/2025,DevAll,LM_Prod,failed,Duplicate Records,2025-12
DEP_00046,4/27/2026,SIT,RCT,success,,2026-04
DEP_00047,1/12/2026,DevAll,MAI,failed,Duplicate Records,2026-01
DEP_00048,3/9/2026,UAT,RNT_SI,success,,2026-03
DEP_00049,12/1/2025,SIT,MAI,success,,2025-12
DEP_00050,10/3/2025,DevAll,MAI,failed,Permission Issues,2025-10
DEP_00051,4/11/2026,UAT,LM_Prod,failed,Other Technical Errors,2026-04
DEP_00052,3/8/2026,UAT,RCT,success,,2026-03
DEP_00053,3/19/2026,EMT,LM_Prod,failed,Duplicate Records,2026-03
DEP_00054,11/30/2025,UAT,RCT,failed,Duplicate Records,2025-11
DEP_00055,4/18/2026,EMT,LM_Prod,success,,2026-04
DEP_00056,12/2/2025,EMT,LM_Prod,failed,Duplicate Records,2025-12
DEP_00057,5/20/2026,SIT,RCT,success,,2026-05
DEP_00058,4/21/2026,SIT,MAI,failed,Duplicate Records,2026-04
DEP_00059,4/1/2026,SIT,RNT_SI,success,,2026-04
DEP_00060,12/13/2025,UAT,RNT_SI,failed,Duplicate Records,2025-12
DEP_00061,4/17/2026,EMT,RNT_SI,failed,Other Technical Errors,2026-04
DEP_00062,10/14/2025,DevAll,RNT_SI,failed,Missing Data/Fields,2025-10
DEP_00063,3/2/2026,EMT,RNT_SI,failed,Other Technical Errors,2026-03
DEP_00064,3/13/2026,EMT,MAI,success,,2026-03
DEP_00065,10/20/2025,DevAll,LM_Prod,failed,Other Technical Errors,2025-10
DEP_00066,4/2/2026,DevAll,RCT,success,,2026-04
DEP_00067,4/20/2026,SIT,RCT,success,,2026-04
DEP_00068,3/2/2026,SIT,MAI,success,,2026-03
DEP_00069,10/11/2025,SIT,LM_Prod,success,,2025-10
DEP_00070,10/13/2025,SIT,RCT,success,,2025-10
DEP_00071,3/14/2026,SIT,LM_Prod,failed,Other Technical Errors,2026-03
DEP_00072,10/22/2025,SIT,MAI,failed,Other Technical Errors,2025-10
DEP_00073,3/3/2026,SIT,RCT,failed,Other Technical Errors,2026-03
DEP_00074,3/29/2026,SIT,RCT,success,,2026-03
DEP_00075,4/20/2026,SIT,LM_Prod,failed,Duplicate Records,2026-04
DEP_00076,12/20/2025,SIT,MAI,success,,2025-12
DEP_00077,10/21/2025,SIT,RCT,failed,Permission Issues,2025-10
DEP_00078,3/29/2026,SIT,MAI,success,,2026-03
DEP_00079,4/11/2026,DevAll,RCT,failed,Duplicate Records,2026-04
DEP_00080,3/3/2026,SIT,MAI,success,,2026-03
DEP_00081,4/13/2026,SIT,RCT,failed,Other Technical Errors,2026-04
DEP_00082,11/20/2025,SIT,LM_Prod,success,,2025-11
DEP_00083,10/26/2025,UAT,RCT,success,,2025-10
DEP_00084,3/10/2026,EMT,RCT,failed,Other Technical Errors,2026-03
DEP_00085,12/13/2025,SIT,LM_Prod,failed,Permission Issues,2025-12
DEP_00086,4/19/2026,DevAll,RCT,success,,2026-04
DEP_00087,4/6/2026,SIT,RCT,success,,2026-04
DEP_00088,12/30/2025,SIT,RCT,success,,2025-12
DEP_00089,3/7/2026,UAT,LM_Prod,success,,2026-03
DEP_00090,10/1/2025,DevAll,RNT_SI,success,,2025-10
DEP_00091,4/30/2026,UAT,LM_Prod,failed,Other Technical Errors,2026-04
DEP_00092,10/4/2025,SIT,RCT,success,,2025-10
DEP_00093,12/25/2025,SIT,MAI,success,,2025-12
DEP_00094,3/24/2026,UAT,LM_Prod,failed,Other Technical Errors,2026-03
DEP_00095,12/18/2025,EMT,LM_Prod,failed,Other Technical Errors,2025-12
DEP_00096,10/12/2025,UAT,RCT,failed,Other Technical Errors,2025-10
DEP_00097,1/4/2026,EMT,MAI,success,,2026-01
DEP_00098,3/21/2026,DevAll,RCT,failed,Validation/Cross-Ref Errors,2026-03
DEP_00099,10/15/2025,SIT,LM_Prod,success,,2025-10
DEP_00100,4/10/2026,SIT,RCT,failed,Other Technical Errors,2026-04
DEP_00101,3/28/2026,EMT,LM_Prod,success,,2026-03
DEP_00102,3/31/2026,DevAll,RNT_SI,success,,2026-03
DEP_00103,3/8/2026,UAT,RNT_SI,failed,Other Technical Errors,2026-03
DEP_00104,4/10/2026,UAT,LM_Prod,success,,2026-04
DEP_00105,4/10/2026,SIT,LM_Prod,success,,2026-04
DEP_00106,3/12/2026,DevAll,MAI,success,,2026-03
DEP_00107,4/30/2026,DevAll,LM_Prod,success,,2026-04
DEP_00108,10/31/2025,SIT,RCT,failed,Permission Issues,2025-10
DEP_00109,10/10/2025,SIT,MAI,success,,2025-10
DEP_00110,3/9/2026,EMT,MAI,success,,2026-03
DEP_00111,10/21/2025,SIT,RCT,success,,2025-10
DEP_00112,3/26/2026,SIT,LM_Prod,failed,Missing Data/Fields,2026-03
DEP_00113,12/18/2025,SIT,LM_Prod,success,,2025-12
DEP_00114,3/23/2026,SIT,LM_Prod,failed,Missing Data/Fields,2026-03
DEP_00115,12/9/2025,SIT,MAI,failed,Missing Data/Fields,2025-12
DEP_00116,3/15/2026,SIT,LM_Prod,success,,2026-03
DEP_00117,4/3/2026,SIT,RCT,failed,Other Technical Errors,2026-04
DEP_00118,10/24/2025,SIT,LM_Prod,failed,Duplicate Records,2025-10
DEP_00119,11/21/2025,SIT,RCT,failed,Validation/Cross-Ref Errors,2025-11
DEP_00120,3/3/2026,SIT,MAI,success,,2026-03
DEP_00121,12/19/2025,SIT,RNT_SI,failed,Permission Issues,2025-12
DEP_00122,1/17/2026,SIT,RNT_SI,success,,2026-01
DEP_00123,3/8/2026,SIT,MAI,success,,2026-03
DEP_00124,3/14/2026,SIT,MAI,success,,2026-03
DEP_00125,11/15/2025,UAT,LM_Prod,success,,2025-11
DEP_00126,3/18/2026,SIT,RCT,failed,Permission Issues,2026-03
DEP_00127,12/25/2025,UAT,MAI,failed,Permission Issues,2025-12
DEP_00128,12/4/2025,EMT,MAI,success,,2025-12
DEP_00129,12/22/2025,DevAll,MAI,failed,Duplicate Records,2025-12
DEP_00130,2/1/2026,DevAll,MAI,success,,2026-02
DEP_00131,5/9/2026,EMT,LM_Prod,success,,2026-05
DEP_00132,3/5/2026,SIT,MAI,success,,2026-03
DEP_00133,4/19/2026,DevAll,RNT_SI,success,,2026-04
DEP_00134,12/9/2025,UAT,RNT_SI,failed,Validation/Cross-Ref Errors,2025-12
DEP_00135,11/9/2025,SIT,LM_Prod,success,,2025-11
DEP_00136,11/6/2025,SIT,RCT,failed,Duplicate Records,2025-11
DEP_00137,3/19/2026,UAT,MAI,success,,2026-03
DEP_00138,3/16/2026,DevAll,MAI,success,,2026-03
DEP_00139,12/29/2025,DevAll,RCT,success,,2025-12
DEP_00140,3/11/2026,SIT,MAI,success,,2026-03
DEP_00141,10/28/2025,EMT,RCT,success,,2025-10
DEP_00142,12/8/2025,UAT,LM_Prod,success,,2025-12
DEP_00143,12/15/2025,UAT,RCT,success,,2025-12
DEP_00144,3/29/2026,SIT,RCT,success,,2026-03
DEP_00145,1/24/2026,DevAll,RCT,failed,Missing Data/Fields,2026-01
DEP_00146,4/19/2026,DevAll,RCT,success,,2026-04
DEP_00147,10/8/2025,UAT,LM_Prod,success,,2025-10
DEP_00148,3/31/2026,DevAll,MAI,failed,Validation/Cross-Ref Errors,2026-03
DEP_00149,1/25/2026,DevAll,RCT,success,,2026-01
DEP_00150,10/18/2025,UAT,LM_Prod,success,,2025-10
DEP_00151,3/7/2026,DevAll,LM_Prod,success,,2026-03
DEP_00152,10/7/2025,DevAll,RNT_SI,failed,Other Technical Errors,2025-10
DEP_00153,3/3/2026,EMT,RNT_SI,failed,Missing Data/Fields,2026-03
DEP_00154,3/8/2026,UAT,RCT,failed,Other Technical Errors,2026-03
DEP_00155,4/24/2026,SIT,LM_Prod,failed,Duplicate Records,2026-04
DEP_00156,10/11/2025,UAT,MAI,success,,2025-10
DEP_00157,3/26/2026,UAT,RCT,success,,2026-03
DEP_00158,11/12/2025,DevAll,MAI,success,,2025-11
DEP_00159,12/13/2025,DevAll,LM_Prod,success,,2025-12
DEP_00160,3/8/2026,DevAll,RCT,success,,2026-03
DEP_00161,3/28/2026,DevAll,LM_Prod,failed,Other Technical Errors,2026-03
DEP_00162,12/29/2025,UAT,MAI,success,,2025-12
DEP_00163,10/23/2025,DevAll,RCT,success,,2025-10
DEP_00164,4/5/2026,SIT,LM_Prod,failed,Other Technical Errors,2026-04
DEP_00165,3/31/2026,DevAll,RCT,success,,2026-03
DEP_00166,12/28/2025,EMT,LM_Prod,success,,2025-12
DEP_00167,3/21/2026,EMT,MAI,success,,2026-03
DEP_00168,3/18/2026,DevAll,LM_Prod,success,,2026-03
DEP_00169,3/5/2026,EMT,LM_Prod,success,,2026-03
DEP_00170,5/7/2026,EMT,MAI,failed,Other Technical Errors,2026-05
DEP_00171,4/15/2026,EMT,RCT,failed,Permission Issues,2026-04
DEP_00172,3/1/2026,EMT,MAI,failed,Duplicate Records,2026-03
DEP_00173,4/19/2026,EMT,RNT_SI,success,,2026-04
DEP_00174,1/17/2026,EMT,MAI,failed,Other Technical Errors,2026-01
DEP_00175,10/23/2025,EMT,RCT,success,,2025-10
DEP_00176,3/1/2026,EMT,RNT_SI,success,,2026-03
DEP_00177,4/7/2026,EMT,MAI,failed,Permission Issues,2026-04
DEP_00178,3/18/2026,EMT,MAI,failed,Other Technical Errors,2026-03
DEP_00179,10/2/2025,EMT,RCT,failed,Missing Data/Fields,2025-10
DEP_00180,4/9/2026,EMT,MAI,failed,Permission Issues,2026-04
DEP_00181,1/10/2026,EMT,LM_Prod,success,,2026-01
DEP_00182,10/8/2025,SIT,LM_Prod,failed,Other Technical Errors,2025-10
DEP_00183,10/4/2025,EMT,RCT,success,,2025-10
DEP_00184,3/28/2026,DevAll,MAI,success,,2026-03
DEP_00185,1/25/2026,SIT,RCT,success,,2026-01
DEP_00186,4/7/2026,UAT,MAI,failed,Other Technical Errors,2026-04
DEP_00187,3/29/2026,DevAll,LM_Prod,failed,Missing Data/Fields,2026-03
DEP_00188,10/2/2025,UAT,MAI,success,,2025-10
DEP_00189,12/12/2025,DevAll,LM_Prod,failed,Validation/Cross-Ref Errors,2025-12
DEP_00190,10/12/2025,SIT,LM_Prod,success,,2025-10
DEP_00191,3/8/2026,SIT,RNT_SI,success,,2026-03
DEP_00192,10/18/2025,EMT,MAI,success,,2025-10
DEP_00193,12/30/2025,DevAll,LM_Prod,failed,Other Technical Errors,2025-12
DEP_00194,3/22/2026,UAT,MAI,success,,2026-03
DEP_00195,10/9/2025,UAT,MAI,success,,2025-10
DEP_00196,4/10/2026,SIT,MAI,failed,Duplicate Records,2026-04
DEP_00197,10/7/2025,UAT,RCT,success,,2025-10
DEP_00198,10/18/2025,EMT,MAI,success,,2025-10
DEP_00199,3/10/2026,EMT,RNT_SI,success,,2026-03
DEP_00200,12/31/2025,EMT,RNT_SI,success,,2025-12
DEP_00201,10/27/2025,EMT,LM_Prod,success,,2025-10
DEP_00202,3/16/2026,EMT,RCT,success,,2026-03
DEP_00203,4/9/2026,SIT,RCT,success,,2026-04
DEP_00204,1/18/2026,UAT,RCT,success,,2026-01
DEP_00205,3/14/2026,EMT,MAI,failed,Duplicate Records,2026-03
DEP_00206,4/15/2026,SIT,LM_Prod,failed,Other Technical Errors,2026-04
DEP_00207,4/5/2026,UAT,RCT,failed,Other Technical Errors,2026-04
DEP_00208,4/3/2026,DevAll,MAI,success,,2026-04
DEP_00209,3/23/2026,DevAll,RCT,success,,2026-03
DEP_00210,10/30/2025,SIT,LM_Prod,success,,2025-10
DEP_00211,3/26/2026,UAT,MAI,failed,Permission Issues,2026-03
DEP_00212,10/5/2025,SIT,RCT,success,,2025-10
DEP_00213,3/9/2026,DevAll,MAI,failed,Duplicate Records,2026-03
DEP_00214,10/19/2025,UAT,LM_Prod,failed,Other Technical Errors,2025-10
DEP_00215,3/6/2026,EMT,LM_Prod,success,,2026-03
DEP_00216,3/11/2026,EMT,MAI,failed,Other Technical Errors,2026-03
DEP_00217,10/8/2025,EMT,LM_Prod,failed,Duplicate Records,2025-10
DEP_00218,4/7/2026,EMT,RCT,failed,Duplicate Records,2026-04
DEP_00219,4/4/2026,EMT,LM_Prod,success,,2026-04
DEP_00220,12/7/2025,EMT,MAI,success,,2025-12
DEP_00221,3/13/2026,EMT,RCT,failed,Duplicate Records,2026-03
DEP_00222,3/29/2026,UAT,LM_Prod,success,,2026-03
DEP_00223,10/8/2025,UAT,LM_Prod,failed,Duplicate Records,2025-10
DEP_00224,4/23/2026,UAT,LM_Prod,success,,2026-04
DEP_00225,12/9/2025,UAT,MAI,success,,2025-12
DEP_00226,3/8/2026,SIT,MAI,failed,Duplicate Records,2026-03
DEP_00227,12/21/2025,EMT,MAI,failed,Duplicate Records,2025-12
DEP_00228,3/4/2026,EMT,RNT_SI,failed,Other Technical Errors,2026-03
DEP_00229,4/1/2026,UAT,RNT_SI,failed,Duplicate Records,2026-04
DEP_00230,12/13/2025,SIT,RNT_SI,failed,Other Technical Errors,2025-12
DEP_00231,11/23/2025,SIT,LM_Prod,failed,Other Technical Errors,2025-11
DEP_00232,3/30/2026,UAT,MAI,success,,2026-03
DEP_00233,12/2/2025,EMT,MAI,success,,2025-12
DEP_00234,3/18/2026,DevAll,MAI,success,,2026-03
DEP_00235,4/18/2026,SIT,RCT,failed,Duplicate Records,2026-04
DEP_00236,4/12/2026,UAT,MAI,failed,Duplicate Records,2026-04
DEP_00237,10/5/2025,UAT,RCT,failed,Other Technical Errors,2025-10
DEP_00238,2/11/2026,EMT,MAI,failed,Other Technical Errors,2026-02
DEP_00239,11/18/2025,DevAll,RNT_SI,success,,2025-11
DEP_00240,10/18/2025,DevAll,LM_Prod,failed,Duplicate Records,2025-10
DEP_00241,3/22/2026,SIT,LM_Prod,failed,Other Technical Errors,2026-03
DEP_00242,3/8/2026,DevAll,RCT,success,,2026-03
DEP_00243,10/28/2025,DevAll,RCT,failed,Validation/Cross-Ref Errors,2025-10
DEP_00244,1/7/2026,EMT,RCT,failed,Other Technical Errors,2026-01
DEP_00245,3/25/2026,EMT,RCT,success,,2026-03
DEP_00246,3/9/2026,UAT,MAI,failed,Permission Issues,2026-03
DEP_00247,3/25/2026,UAT,RCT,success,,2026-03
DEP_00248,12/17/2025,EMT,RCT,success,,2025-12
DEP_00249,12/28/2025,SIT,RCT,failed,Other Technical Errors,2025-12
DEP_00250,12/7/2025,EMT,RCT,success,,2025-12
DEP_00251,3/15/2026,SIT,RCT,failed,Other Technical Errors,2026-03
DEP_00252,1/29/2026,DevAll,LM_Prod,failed,Missing Data/Fields,2026-01
DEP_00253,3/3/2026,EMT,LM_Prod,success,,2026-03
DEP_00254,4/2/2026,EMT,RCT,success,,2026-04
DEP_00255,3/3/2026,EMT,MAI,failed,Other Technical Errors,2026-03
DEP_00256,3/3/2026,EMT,LM_Prod,failed,Permission Issues,2026-03
DEP_00257,4/22/2026,EMT,RCT,success,,2026-04
DEP_00258,12/22/2025,EMT,RNT_SI,success,,2025-12
DEP_00259,5/5/2026,EMT,RNT_SI,success,,2026-05
DEP_00260,2/4/2026,DevAll,RCT,success,,2026-02
DEP_00261,4/8/2026,UAT,RCT,success,,2026-04
DEP_00262,10/22/2025,SIT,LM_Prod,success,,2025-10
DEP_00263,12/18/2025,DevAll,MAI,success,,2025-12
DEP_00264,3/15/2026,DevAll,LM_Prod,failed,Other Technical Errors,2026-03
DEP_00265,11/22/2025,EMT,MAI,success,,2025-11
DEP_00266,10/14/2025,UAT,LM_Prod,success,,2025-10
DEP_00267,5/21/2026,SIT,RCT,success,,2026-05
DEP_00268,3/4/2026,DevAll,MAI,success,,2026-03
DEP_00269,3/16/2026,DevAll,RCT,success,,2026-03
DEP_00270,4/29/2026,SIT,LM_Prod,success,,2026-04
DEP_00271,3/24/2026,DevAll,LM_Prod,failed,Other Technical Errors,2026-03
DEP_00272,10/8/2025,UAT,MAI,success,,2025-10
DEP_00273,3/21/2026,UAT,RCT,failed,Other Technical Errors,2026-03
DEP_00274,10/7/2025,UAT,LM_Prod,success,,2025-10
DEP_00275,3/16/2026,DevAll,LM_Prod,failed,Permission Issues,2026-03
DEP_00276,12/30/2025,EMT,RCT,failed,Validation/Cross-Ref Errors,2025-12
DEP_00277,4/4/2026,UAT,LM_Prod,success,,2026-04
DEP_00278,10/10/2025,DevAll,MAI,failed,Other Technical Errors,2025-10
DEP_00279,10/6/2025,DevAll,MAI,success,,2025-10
DEP_00280,3/20/2026,UAT,MAI,success,,2026-03
DEP_00281,12/29/2025,SIT,LM_Prod,failed,Other Technical Errors,2025-12
DEP_00282,3/27/2026,SIT,RCT,failed,Missing Data/Fields,2026-03
DEP_00283,12/31/2025,UAT,RCT,success,,2025-12
DEP_00284,3/14/2026,UAT,LM_Prod,success,,2026-03
DEP_00285,3/7/2026,EMT,MAI,failed,Other Technical Errors,2026-03
DEP_00286,10/25/2025,DevAll,MAI,failed,Validation/Cross-Ref Errors,2025-10
DEP_00287,1/27/2026,DevAll,LM_Prod,success,,2026-01
DEP_00288,12/19/2025,DevAll,LM_Prod,success,,2025-12
DEP_00289,12/8/2025,DevAll,RCT,failed,Duplicate Records,2025-12
DEP_00290,3/27/2026,DevAll,LM_Prod,success,,2026-03
DEP_00291,3/30/2026,DevAll,RCT,failed,Duplicate Records,2026-03
DEP_00292,12/29/2025,DevAll,LM_Prod,failed,Other Technical Errors,2025-12
DEP_00293,12/25/2025,DevAll,MAI,success,,2025-12
DEP_00294,12/26/2025,DevAll,MAI,failed,Missing Data/Fields,2025-12
DEP_00295,1/5/2026,DevAll,MAI,success,,2026-01
DEP_00296,3/19/2026,DevAll,MAI,success,,2026-03
DEP_00297,4/22/2026,DevAll,RCT,success,,2026-04
DEP_00298,1/20/2026,DevAll,RCT,success,,2026-01
DEP_00299,3/5/2026,UAT,MAI,success,,2026-03
DEP_00300,1/6/2026,SIT,RCT,failed,Permission Issues,2026-01
DEP_00301,3/3/2026,UAT,MAI,failed,Permission Issues,2026-03
DEP_00302,3/2/2026,SIT,MAI,success,,2026-03
DEP_00303,12/14/2025,DevAll,RCT,success,,2025-12
DEP_00304,4/8/2026,EMT,MAI,success,,2026-04
DEP_00305,3/18/2026,SIT,MAI,success,,2026-03
DEP_00306,3/19/2026,DevAll,LM_Prod,success,,2026-03
DEP_00307,10/3/2025,DevAll,RNT_SI,success,,2025-10
DEP_00308,4/6/2026,EMT,RNT_SI,failed,Other Technical Errors,2026-04
DEP_00309,10/24/2025,SIT,LM_Prod,failed,Other Technical Errors,2025-10
DEP_00310,4/11/2026,SIT,RCT,failed,Validation/Cross-Ref Errors,2026-04
DEP_00311,3/7/2026,UAT,RCT,success,,2026-03
DEP_00312,10/18/2025,EMT,RCT,failed,Other Technical Errors,2025-10
DEP_00313,1/30/2026,EMT,RCT,failed,Other Technical Errors,2026-01
DEP_00314,3/25/2026,DevAll,MAI,failed,Missing Data/Fields,2026-03
DEP_00315,4/20/2026,SIT,MAI,failed,Duplicate Records,2026-04
DEP_00316,11/24/2025,EMT,MAI,success,,2025-11
DEP_00317,1/25/2026,EMT,MAI,failed,Other Technical Errors,2026-01
DEP_00318,10/4/2025,UAT,MAI,failed,Permission Issues,2025-10
DEP_00319,10/1/2025,DevAll,MAI,failed,Other Technical Errors,2025-10
DEP_00320,3/26/2026,DevAll,RCT,success,,2026-03
DEP_00321,12/11/2025,EMT,RCT,failed,Other Technical Errors,2025-12
DEP_00322,4/28/2026,UAT,MAI,success,,2026-04
DEP_00323,3/8/2026,UAT,MAI,success,,2026-03
DEP_00324,12/4/2025,UAT,MAI,failed,Validation/Cross-Ref Errors,2025-12
DEP_00325,11/12/2025,DevAll,LM_Prod,success,,2025-11
DEP_00326,3/17/2026,EMT,RCT,success,,2026-03
DEP_00327,3/22/2026,UAT,LM_Prod,failed,Other Technical Errors,2026-03
DEP_00328,1/24/2026,UAT,RCT,success,,2026-01
DEP_00329,1/6/2026,EMT,MAI,failed,Duplicate Records,2026-01
DEP_00330,10/28/2025,DevAll,RCT,success,,2025-10
DEP_00331,3/8/2026,DevAll,RCT,failed,Missing Data/Fields,2026-03
DEP_00332,2/1/2026,UAT,RCT,success,,2026-02
DEP_00333,12/27/2025,SIT,MAI,success,,2025-12
DEP_00334,10/20/2025,DevAll,RCT,failed,Other Technical Errors,2025-10
DEP_00335,4/8/2026,UAT,LM_Prod,success,,2026-04
DEP_00336,10/28/2025,UAT,LM_Prod,success,,2025-10
DEP_00337,11/22/2025,UAT,MAI,success,,2025-11
DEP_00338,11/15/2025,SIT,RCT,failed,Permission Issues,2025-11
DEP_00339,3/1/2026,DevAll,MAI,failed,Duplicate Records,2026-03
DEP_00340,12/23/2025,UAT,MAI,success,,2025-12
DEP_00341,10/7/2025,DevAll,LM_Prod,success,,2025-10
DEP_00342,12/3/2025,EMT,MAI,success,,2025-12
DEP_00343,4/12/2026,UAT,MAI,failed,Other Technical Errors,2026-04
DEP_00344,3/7/2026,UAT,LM_Prod,success,,2026-03
DEP_00345,3/8/2026,SIT,MAI,success,,2026-03
DEP_00346,3/25/2026,EMT,LM_Prod,success,,2026-03
DEP_00347,12/21/2025,SIT,MAI,success,,2025-12
DEP_00348,10/14/2025,EMT,MAI,failed,Duplicate Records,2025-10
DEP_00349,4/28/2026,EMT,LM_Prod,failed,Other Technical Errors,2026-04
DEP_00350,10/3/2025,SIT,RCT,success,,2025-10
DEP_00351,2/16/2026,UAT,MAI,success,,2026-02
DEP_00352,4/8/2026,DevAll,LM_Prod,failed,Duplicate Records,2026-04
DEP_00353,11/21/2025,EMT,LM_Prod,success,,2025-11
DEP_00354,3/14/2026,EMT,RCT,failed,Other Technical Errors,2026-03
DEP_00355,3/13/2026,DevAll,RCT,success,,2026-03
DEP_00356,1/21/2026,EMT,RCT,failed,Other Technical Errors,2026-01
DEP_00357,1/17/2026,UAT,RCT,failed,Duplicate Records,2026-01
DEP_00358,12/19/2025,SIT,LM_Prod,failed,Other Technical Errors,2025-12
DEP_00359,3/16/2026,EMT,MAI,success,,2026-03
DEP_00360,4/22/2026,SIT,LM_Prod,success,,2026-04
DEP_00361,3/4/2026,DevAll,LM_Prod,failed,Permission Issues,2026-03
DEP_00362,3/28/2026,SIT,RCT,success,,2026-03
DEP_00363,4/23/2026,DevAll,LM_Prod,success,,2026-04
DEP_00364,12/16/2025,DevAll,LM_Prod,success,,2025-12
DEP_00365,12/8/2025,DevAll,RCT,success,,2025-12
DEP_00366,3/26/2026,DevAll,RCT,failed,Other Technical Errors,2026-03
DEP_00367,3/30/2026,DevAll,RCT,success,,2026-03
DEP_00368,1/14/2026,DevAll,LM_Prod,failed,Other Technical Errors,2026-01
DEP_00369,12/5/2025,DevAll,RCT,failed,Validation/Cross-Ref Errors,2025-12
DEP_00370,3/12/2026,DevAll,LM_Prod,success,,2026-03
DEP_00371,4/17/2026,DevAll,LM_Prod,success,,2026-04
DEP_00372,10/28/2025,DevAll,MAI,success,,2025-10
DEP_00373,3/15/2026,DevAll,MAI,failed,Duplicate Records,2026-03
DEP_00374,12/22/2025,EMT,LM_Prod,failed,Duplicate Records,2025-12
DEP_00375,3/16/2026,UAT,RCT,failed,Validation/Cross-Ref Errors,2026-03
DEP_00376,1/9/2026,EMT,LM_Prod,success,,2026-01
DEP_00377,4/3/2026,DevAll,RCT,failed,Duplicate Records,2026-04
DEP_00378,10/4/2025,UAT,LM_Prod,failed,Other Technical Errors,2025-10
DEP_00379,5/10/2026,DevAll,MAI,success,,2026-05
DEP_00380,5/22/2026,SIT,LM_Prod,success,,2026-05
DEP_00381,3/24/2026,EMT,RCT,failed,Missing Data/Fields,2026-03
DEP_00382,1/10/2026,UAT,LM_Prod,failed,Missing Data/Fields,2026-01
DEP_00383,12/8/2025,SIT,RCT,success,,2025-12
DEP_00384,1/15/2026,DevAll,LM_Prod,failed,Permission Issues,2026-01
DEP_00385,4/15/2026,DevAll,RCT,success,,2026-04
DEP_00386,12/18/2025,UAT,RCT,failed,Missing Data/Fields,2025-12
DEP_00387,3/24/2026,SIT,RCT,success,,2026-03
DEP_00388,12/9/2025,UAT,MAI,success,,2025-12
DEP_00389,4/5/2026,EMT,LM_Prod,success,,2026-04
DEP_00390,10/15/2025,SIT,RCT,success,,2025-10
DEP_00391,3/4/2026,UAT,LM_Prod,success,,2026-03
DEP_00392,4/20/2026,DevAll,MAI,failed,Other Technical Errors,2026-04
DEP_00393,3/17/2026,UAT,MAI,success,,2026-03
